COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
63450,63,Verneugheol,227,0.0,0,0.0,33.8,0.0,0,0,0.0,27,47,37,76,21
63451,63,Vernines,427,0.0,0,0.0,3.1,0.0,0,0,0.0,36,47,37,76,12
63452,63,Verrières,74,0.0,0,0.0,6.5,0.0,0,0,0.0,10,47,37,76,13
63453,63,Vertaizon,3442,0.0,0,5.0,44.1,0.0,0,0,0.0,46,47,37,76,29
63454,63,Vertolaye,551,0.0,0,9.0,25.6,0.0,0,0,0.0,44,47,37,76,28
63455,63,Veyre-Monton,3698,0.0,0,4.0,24.3,0.0,0,0,0.0,69,47,37,76,23
63456,63,Vichel,333,0.0,0,0.0,6.5,0.0,0,0,0.0,34,47,37,76,13
63457,63,Vic-le-Comte,5336,0.0,0,10.0,35.6,0.0,0,0,0.0,45,47,37,76,32
63458,63,Villeneuve,139,0.0,0,0.0,6.5,0.0,0,0,0.0,26,47,37,76,13
63459,63,Villeneuve-les-Cerfs,506,0.0,0,0.0,4.1,0.0,0,0,0.0,28,47,37,76,12
63460,63,Villossanges,365,0.0,0,6.0,33.8,0.0,0,0,0.0,36,47,37,76,28
63461,63,Vinzelles,371,0.0,0,0.0,4.6,0.0,0,0,0.0,33,47,37,76,12
63462,63,Virlet,268,0.0,0,0.0,1.6,0.0,0,0,0.0,36,47,37,76,12
63463,63,Viscomtat,503,0.0,0,3.0,23.2,0.0,0,0,0.0,39,47,37,76,21
63464,63,Vitrac,338,0.0,0,4.0,6.6,0.0,0,0,0.0,41,47,37,76,17
63465,63,Viverols,443,0.0,0,0.0,12.3,0.0,0,0,0.0,43,267,37,344,243
63466,63,Vodable,188,0.0,0,0.0,6.5,0.0,0,0,0.0,37,47,37,76,13
63467,63,Voingt,57,0.0,0,0.0,33.8,0.0,0,0,0.0,21,47,37,76,21
63468,63,Vollore-Montagne,312,0.0,0,0.0,23.2,0.0,0,0,0.0,40,47,37,76,18
63469,63,Vollore-Ville,714,0.0,0,0.0,41.3,0.0,0,0,0.0,36,47,37,76,23
63470,63,Volvic,4779,0.0,0,4.0,7.6,0.0,0,1,20.92,49,47,204,76,18
63471,63,Youx,871,0.0,0,1.0,1.6,0.0,0,0,0.0,39,47,37,76,13
63472,63,Yronde-et-Buron,643,0.0,0,0.0,17.9,0.0,0,0,0.0,40,47,37,76,16
63473,63,Yssac-la-Tourette,396,0.0,0,0.0,6.6,0.0,0,0,0.0,41,47,37,76,13
64001,64,Aast,196,0.0,0,0.0,10.4,0.0,0,0,0.0,28,37,18,74,15
64002,64,Abère,159,0.0,0,0.0,10.4,0.0,0,0,0.0,29,37,18,74,15
64003,64,Abidos,215,0.0,0,0.0,26.9,0.0,0,0,0.0,30,37,18,74,19
64004,64,Abitain,115,0.0,0,2.0,20.9,0.0,0,0,0.0,16,37,18,74,20
64005,64,Abos,522,0.0,0,3.0,26.9,0.0,0,0,0.0,31,37,18,74,23
64006,64,Accous,465,0.0,0,3.0,21.5,0.0,0,0,0.0,29,37,18,74,21
64007,64,Agnos,1042,0.0,0,0.0,21.5,0.0,0,0,0.0,26,37,18,74,18
64008,64,Ahaxe-Alciette-Bascassan,262,0.0,0,0.0,26.0,0.0,0,0,0.0,19,37,18,74,19
64009,64,Ahetze,2070,0.0,0,4.0,37.3,0.0,0,0,0.0,35,37,18,74,27
64010,64,Aïcirits-Camou-Suhast,695,0.0,0,0.0,26.0,0.0,0,0,0.0,27,37,18,74,19
64011,64,Aincille,114,0.0,0,10.0,26.0,0.0,0,0,0.0,22,37,18,74,30
64012,64,Ainharp,128,0.0,0,0.0,26.0,0.0,0,0,0.0,16,37,18,74,19
64013,64,Ainhice-Mongelos,167,0.0,0,0.0,26.0,0.0,0,0,0.0,15,37,18,74,19
64014,64,Ainhoa,665,0.0,0,0.0,36.0,0.0,0,0,0.0,33,37,18,74,22
