departement,population,Total_FdS_Insécurité,Total_FdS_Immigration,Total_FdS_Islamisme,Total_FdS_Défrancisation,Total_FdS_Wokisme,Total_Mosques,Mosques_per_100k,Total_QPV,Pop_in_QPV,Pop_in_QPV_pct,Crime_Coups_et_blessures_volontaires_p1k,Crime_Coups_et_blessures_volontaires_intrafamiliaux_p1k,Crime_Autres_coups_et_blessures_volontaires_p1k,Crime_Violences_sexuelles_p1k,Crime_Vols_avec_armes_p1k,Crime_Vols_violents_sans_arme_p1k,Crime_Vols_sans_violence_contre_des_personnes_p1k,Crime_Cambriolages_de_logement_p1k,Crime_Vols_de_véhicules_p1k,Crime_Vols_dans_les_véhicules_p1k,Crime_Vols_d_accessoires_sur_véhicules_p1k,Crime_Destructions_et_dégradations_volontaires_p1k,Crime_Usage_de_stupéfiants_p1k,Crime_Usage_de_stupéfiants_AFD_p1k,Crime_Trafic_de_stupéfiants_p1k,Crime_Escroqueries_p1k,Crime_Homicides_p100k,Crime_Tentatives_d_homicides_p100k,Prenom_Traditionnel_pct,Prenom_Moderne_pct,Prenom_Inventé_pct,Prenom_Européen_pct,Prenom_Musulman_pct,Prenom_Africain_pct,Prenom_Asiatique_pct,FdS_Insécurité_per_1k,FdS_Immigration_per_1k,FdS_Islamisme_per_1k,FdS_Défrancisation_per_1k,FdS_Wokisme_per_1k
50,496815,13,12,2,2,1,3,0.604,7,15334,3.086,3.2125,1.9585,1.254,1.7049,0.0161,0.1872,3.9793,3.1113,0.9682,1.5479,0.4992,6.278,2.0933,1.2902,0.2134,4.6577,1.2077,2.6167,54.08,3.63,16.33,22.69,5.63,0.36,0.36,0.026,0.024,0.004,0.004,0.002
51,564107,14,8,1,4,2,23,4.077,13,60186,10.669,5.6124,3.2512,2.3613,1.8241,0.0656,0.5566,6.7168,5.9219,2.5669,4.5966,1.6593,9.1153,3.432,1.9624,0.3404,5.8003,1.2409,7.0908,49.26,3.22,13.15,22.15,16.38,1.48,0.13,0.025,0.014,0.002,0.007,0.004
52,169865,2,1,0,1,1,12,7.064,4,10679,6.287,4.951,2.8846,2.0663,1.6425,0.0294,0.1943,4.2033,4.3092,1.5365,2.6609,1.6719,7.1056,2.6492,1.5365,0.4121,4.4035,2.9435,2.9435,42.62,4.1,16.39,30.33,11.48,0.82,0.0,0.012,0.006,0.0,0.006,0.006
53,305437,2,3,0,1,0,4,1.31,3,6958,2.278,4.1743,2.8091,1.3653,2.1772,0.0164,0.203,4.0172,5.1655,0.6286,2.0004,0.5959,5.4479,2.94,1.7025,0.4747,5.1238,0.6548,2.6192,50.53,3.86,10.88,24.91,12.63,4.21,0.35,0.007,0.01,0.0,0.003,0.0
54,732898,5,3,1,1,0,37,5.048,18,51547,7.033,5.1044,2.778,2.3264,1.7083,0.06,0.4011,6.8836,5.0281,1.1352,3.0182,0.9851,7.9111,2.9377,1.4081,0.5485,5.2968,0.8187,4.0933,42.69,3.0,14.63,24.7,20.26,1.32,0.24,0.007,0.004,0.001,0.001,0.0
55,180745,6,3,2,4,1,10,5.533,3,6646,3.677,4.2657,2.4178,1.8479,1.8534,0.0498,0.166,3.9116,5.4796,1.4108,2.3237,0.8631,7.4414,4.3985,1.4606,0.8078,4.5423,1.1065,11.6186,41.51,0.0,20.75,32.08,7.55,0.0,1.89,0.033,0.017,0.011,0.022,0.006
56,776103,13,10,3,8,5,13,1.675,9,20833,2.684,3.8899,2.3051,1.5848,1.8361,0.0271,0.2319,5.2789,4.7957,1.3349,2.0719,1.2795,6.503,2.0874,1.2022,0.3891,5.7351,0.9019,2.9635,50.4,3.62,15.97,22.88,10.31,1.25,0.57,0.017,0.013,0.004,0.01,0.006
57,1050721,15,13,9,10,6,53,5.044,26,68885,6.556,4.3484,2.7267,1.6217,1.3648,0.0809,0.2817,5.3316,5.1379,1.005,2.5126,0.906,7.0561,2.1928,1.4067,0.4302,4.416,1.1421,4.2828,32.88,4.06,14.71,27.64,26.29,1.86,0.42,0.014,0.012,0.009,0.01,0.006
58,202299,7,4,2,5,1,4,1.977,4,7071,3.495,4.0435,2.4666,1.5769,1.7944,0.0297,0.2224,4.9086,6.0828,1.7005,1.3742,1.5176,7.8349,2.0267,1.4088,0.1829,5.6451,0.9886,2.9659,56.25,3.75,10.0,27.5,6.25,0.0,0.0,0.035,0.02,0.01,0.025,0.005
59,2616909,56,43,12,17,15,107,4.089,94,436585,16.683,6.3766,3.8603,2.5163,2.1109,0.1127,0.7967,7.7962,6.9732,3.0402,5.3785,1.5243,9.2055,4.581,2.9176,0.7249,5.427,1.261,4.9677,38.41,2.85,15.76,22.39,25.07,2.85,0.51,0.021,0.016,0.005,0.006,0.006
60,830725,63,25,8,12,8,35,4.213,19,74339,8.949,5.0209,3.1117,1.9092,1.8442,0.0987,0.4225,5.2942,5.1424,2.8939,2.4894,1.9128,6.6641,4.206,2.7229,0.526,5.7745,0.963,4.6947,33.56,2.9,16.39,25.53,27.76,3.23,0.33,0.076,0.03,0.01,0.014,0.01
61,276144,6,3,4,4,0,10,3.621,7,16783,6.078,4.5158,2.9079,1.6079,2.1764,0.0471,0.2571,4.36,5.9716,1.0393,1.3182,0.9814,7.583,3.0853,1.434,0.3259,4.7982,0.7243,1.0864,48.26,3.86,16.99,25.1,10.42,1.16,0.0,0.022,0.011,0.014,0.014,0.0
