COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score,Number_of_Mosques,Mosque_p100k
35245,35,Romillé,4154,0.0,0,7.0,36,38,13,57,22,0,0.0
35246,35,Roz-Landrieux,1376,0.0,0,1.0,30,38,13,57,16,0,0.0
35247,35,Roz-sur-Couesnon,1036,0.0,0,8.0,30,38,13,57,23,0,0.0
35248,35,Sains,457,0.0,0,10.0,26,38,13,57,25,0,0.0
35249,35,Sainte-Anne-sur-Vilaine,1032,0.0,0,3.0,29,38,13,57,18,0,0.0
35250,35,Saint-Armel,2344,0.0,0,12.0,38,38,13,57,27,0,0.0
35251,35,Saint-Aubin-d'Aubigné,4231,0.0,0,15.0,46,38,13,57,30,0,0.0
35252,35,Saint-Aubin-des-Landes,923,0.0,0,10.0,28,38,13,57,25,0,0.0
35253,35,Saint-Aubin-du-Cormier,4145,0.0,0,9.0,38,38,13,57,24,0,0.0
35255,35,Saint-Benoît-des-Ondes,966,0.0,0,7.0,32,38,13,57,22,0,0.0
35256,35,Saint-Briac-sur-Mer,2228,0.0,0,11.0,42,38,13,57,26,0,0.0
35257,35,Maen Roch,5093,0.0,0,10.0,65,38,13,57,25,0,0.0
35258,35,Saint-Brieuc-des-Iffs,323,0.0,0,0.0,22,38,13,57,15,0,0.0
35259,35,Saint-Broladre,1166,0.0,0,5.0,29,38,13,57,20,0,0.0
35260,35,Saint-Christophe-des-Bois,562,0.0,0,6.0,29,38,13,57,21,0,0.0
35261,35,Saint-Christophe-de-Valains,230,0.0,0,0.0,25,38,13,57,15,0,0.0
35262,35,Sainte-Colombe,364,0.0,0,1.0,25,38,13,57,16,0,0.0
35263,35,Saint-Coulomb,2970,0.0,0,5.0,72,38,13,57,54,0,0.0
35264,35,Saint-Didier,2030,0.0,0,3.0,30,38,13,57,18,0,0.0
35265,35,Saint-Domineuc,2587,0.0,0,9.0,33,38,13,57,24,0,0.0
35266,35,Saint-Erblon,3615,0.0,0,19.0,48,38,13,57,34,0,0.0
35268,35,Saint-Ganton,414,0.0,0,1.0,26,38,13,57,16,0,0.0
35270,35,Saint-Georges-de-Gréhaigne,377,0.0,0,9.0,27,38,13,57,24,0,0.0
35271,35,Saint-Georges-de-Reintembault,1524,0.0,0,5.0,96,38,13,57,20,0,0.0
35272,35,Saint-Germain-du-Pinel,1007,0.0,0,10.0,29,38,13,57,25,0,0.0
35273,35,Saint-Germain-en-Coglès,2091,0.0,0,7.0,30,38,13,57,22,0,0.0
35274,35,Saint-Germain-sur-Ille,1023,0.0,0,5.0,29,38,111,57,118,0,0.0
35275,35,Saint-Gilles,5489,0.0,0,23.0,44,38,13,57,38,0,0.0
35276,35,Saint-Gondran,629,0.0,0,5.0,27,38,13,57,20,0,0.0
35277,35,Saint-Gonlay,381,0.0,0,0.0,21,38,13,57,15,0,0.0
35278,35,Saint-Grégoire,9992,0.0,0,11.0,64,38,13,57,26,0,0.0
35279,35,Saint-Guinoux,1247,0.0,0,4.0,31,38,13,57,19,0,0.0
35280,35,Saint-Hilaire-des-Landes,1032,0.0,0,5.0,29,38,13,57,20,0,0.0
35281,35,Saint-Jacques-de-la-Lande,13593,0.0,0,21.0,102,61,20,57,36,0,0.0
35282,35,Rives-du-Couesnon,2919,0.0,0,5.0,36,38,13,57,20,0,0.0
35283,35,Saint-Jean-sur-Vilaine,1376,0.0,0,6.0,27,38,13,57,21,0,0.0
35284,35,Saint-Jouan-des-Guérets,2816,0.0,0,15.0,43,74,13,57,66,0,0.0
35285,35,Saint-Just,1103,0.0,0,2.0,28,38,13,57,17,0,0.0
35286,35,Saint-Léger-des-Prés,295,0.0,0,0.0,23,38,13,57,15,0,0.0
35287,35,Saint-Lunaire,2647,0.0,0,9.0,40,38,13,57,24,0,0.0
35288,35,Saint-Malo,47255,7.74,1,27.0,153,95,57,90,92,1,2.12
35289,35,Saint-Malo-de-Phily,1074,0.0,0,1.0,30,38,13,57,16,0,0.0
35290,35,Saint-Malon-sur-Mel,613,0.0,0,7.0,26,38,13,57,22,0,0.0
35291,35,Saint-Marcan,432,0.0,0,0.0,20,38,13,57,15,0,0.0
